"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Friday",6090.73730188444
"2","member","Friday",796.733788899694
"3","casual","Monday",4752.05043820426
"4","member","Monday",822.311201666214
"5","casual","Saturday",4950.77080086098
"6","member","Saturday",974.072963829465
"7","casual","Sunday",5061.30436414326
"8","member","Sunday",972.938335797465
"9","casual","Thursday",8451.66685322513
"10","member","Thursday",707.209274283707
"11","casual","Tuesday",4561.80385720148
"12","member","Tuesday",769.441628768344
"13","casual","Wednesday",4480.37243172952
"14","member","Wednesday",711.983790257748
